review,rating
Vandaag eten besteld bij Kam Fat dit was niet goed we kregen verkeerd gerecht 2 x hetzelfde en de babi pang pang saus was mierzoet en een niet lekkeresubstantie we hebben gebeld met de klacht maar werd afgewimpeld en niets aan gedaan dus niet meer voor mij .,2
"Eten besteld waarbij aangegeven werd dat het binnen een halfuur werd bezorgd,anderhalf uur verder nog steeds geen eten bezorgd of een bericht ontvangen met een nieuwe ingeschatte tijd. Waardeloos.",1
"Thuisbezorgd heeft een hele slechte eigenschap. En dat is dat ze niet de actuele bezorgtijd weergeven. Op zondag om 18.00 staat er nog steeds 25 minuten, terwijl het bv 70 minuten is. Klanten worden hierdoor misleidt en dit zorgt voor slechte recensies. Terwijl als ze de juiste tijd zagen dan hebben ze een keuze om te wachten of elders bestellen. Alles willen ze in eigen beheer houden en dat is een schande. Tevens het niet kunnen reageren op zowel goede als slechte recensies. Ik zou tegen andere ondernemers willen zeggen dat ze beter naar een ander bestelplatform kunnen gaan. Ik ben momenteel in gesprek met collega ondernemers in mijn stad om allen bij thuisbezorgd weg te gaan en 75% is dat daadwerkelijk van plan. Hoop dat vele volgen. Wat ook zeker helpt is dat u uw bestelling telefonisch plaatst. Dan hoort u meteen de actuele bezorgtijd, en het restaurant- dat het al zwaar heeft in deze crisis- geen commissie van 13% en administratiekosten hoeft te betalen.",1
Eten besteld. Na 2 uur was er mijn eten nog niet bezorgd. Dus het restaurant gebeld die beweerde alles te vergoeden. Nadat ik aangegeven heb te willen annuleren. Na 4 uur komen ze opeens met m'n bestelling die ik dus heb weggestuurd. Thuisbezorgd wilt maar 7.50 vergoeden. Dit is belagelijk!!! Geen eten en geen geld terug!,1
Ik ga nooit meer via hun bestellen wat een oplichterij. Sammy die mij heeft geholpen die moet ontslagen woorden door hem is mij eten niet bezorgd en die bezorgers die normaal adressen moeten kennen en adres niet kunnen vinden. Kansloze bedrijf je besteld bij hun je denkt woord provisioneel geholpen. Wat een onzien mensen mijn geld wat jullie niet terug geven ik hoop dat jullie van stikken dat jullie failliet gaan jullie hebben mijn onrecht aangedaan ik hoop dat jullie straf krijgen.,1
"Ontzettend lekker eten! Heerlijk op smak gebracht en de friet en aardappelen zijn lekker knapperig, zelfs met bezorging!",5
Waardeloze werkgever! Code Rood! Advies niemand de weg op...en jullie sturen gewoon medewerkers de weg op! Kansloos!@Iris...een net politiek correct antwoord...mss een idee om zelf op de fiets te gaan??,1
"Ongelooflijk irritant met die honderden mailtjes, ik wil ze niet en ik kan ze niet uitschakelen. Ik moet die zooi niet in mijn mailbox!Het gaat niet om een nieuws brief, het gaat om die onzin mailtje na elke bestelling die ik niet uit kan schrijven. ""Bedankt voor je bestelling , wat vond je ervan?""",1
"Burger special is super snel, of je nu in de middag avond of nacht besteld. Lekker eten en met klachten wordt goed gehandeld.",5
"Bestel je eten om 18u, om er om 20u achter te komen dat je bestelling geannuleerd is wegens een ""eerdere valse bestelling"". Dit zal waarschijnlijk komen doordat ik een VPN gebruik. Nou begrijp ik dit nog maar na een nieuwe bestelling geplaatst te hebben zonder VPN bleek mijn bestelling weer geannuleerd te zijn omdat ik eerst mijn gegevens moet deblokkeren. Uiteindelijk 6u later weer een bestelling geplaatst en 1u moeten wachten. Overstappen naar Uber raad ik iedereen aan!",1
"Zeer slecht.Bestelling geplaatst, na een half uur niks gekregen na een uur gebeld en snel daarna een bericht dat het bezorgd word. Daarna weer gebeld en toen in eens was de bestelling geannuleerd. Meteen gebeld en gevraagd hoe het zat Met mijn bestelling bij dominoos, die bevestigde dat hij geannuleerd was en het geld terug gestort was. Meteen gekeken of dat zo was, DUS NIET. hebben even gewacht of het gestort was en tot verbazing was het geld NIET gestort. Hierna Thuisbezorgd gebeld en om opheldering gevraagd. Die wisten mij te vertellen dat men wel METEEN geld voor de bestelling konden afhalen van mijn rekening maar terugstorten kon wel eens 10 DAGEN duren. Door de annulering zou ik dus mijn geld (40 Euro ruim) moeten terug krijgen, nu moet ik dus 10 dagen lang elke keer kijken of ik mijn geld terug heb. Ik neem dit THUISBEZORD hoogst kwalijk.Uiterste geval kan ik als student dus 10 dagen wachten op mijn zuur verdiende geld.Kortom anderhalf uur gewacht op niks geen eten en nu wachten op mijn EIGEN geld",1
"Beste pizza's die ik in tijden heb gegeten, zeker een aanrader.",5
"Thuisbezorgd heeft een hele slechte eigenschap. En dat is dat ze niet de actuele bezorgtijd weergeven. Op zondag om 18.00 staat er nog steeds 25 minuten, terwijl het bv 70 minuten is. Klanten worden hierdoor misleidt en dit zorgt voor slechte recensies. Terwijl als ze de juiste tijd zagen dan hadden ze een keuze gehad.Al regelmatig doorgestuurd, maar ze praten er altijd omheen. Terwijl ik deze klachten bij elk bedrijf zie op thuisbezorgd.",2
bestellen voor morgen is niet mogelijk. als je lunch wilt bestellen staan er bedrijven tussen die vanaf 16:30 bezorgen.,2
"Hele fijne site om restaurants te vinden, bezoeken en betalen.Bestel eigenlijk altijd via thuisbezorgd!Top 👍",4
"Helaas kon mijn bestelling niet geleverd worden door een gebrek aan ingredienten, bij contact met thuisbezorgd is een terugstorting op orde gemaakt en een voucher gegeven. Geen 5 sterren vanwege de lange terugstortduur van 10 dagen, onrelevant voor mij maar voor iemand met minder geld wel relevant. Heel tevreden moet ik zeggen.",4
"Slechte service, eten via app besteld maar is op een vage manier op een ander adres bezorgd. Restaurant gebeld, moest opgelost worden door thuisbezorgd omdat daar de bestelling was geplaatst. Restauranthouder wilde eten opnieuw bezorgen op het juiste adres maar ging geen nieuwe bestelling maken. Resultaat, koud eten na 1,5 uur wachten en € 27,- armer. Klantenservice van thuisbezorgd geeft niet thuis, blijft het onjuiste adres als excuus gebruiken terwijl in de thuisbezorgd app wel degelijk het juiste adres staat vermeld dus thuisbezorgd liegt liever tegen klanten zodat jij je onschuld moet bewijzen. Geen tegemoetkoming in de vorm van de helft betalen, een maaltijdcheque oid, sterker nog, klantenservice verbreekt gewoon de verbinding als je je onvrede uit. Echt geen woorden voor hoe schandalig je behandeld wordt, terwijl ik dit schrijf voel ik de woede weer opkomen.Voor mij geen thuisbezorgd meer, ik bestel voortaan rechtstreeks bij een restaurant.",1
